iter	Passed	Remaining
863	17824	2805
864	17844	2785
865	17865	2764
866	17886	2743
867	17907	2723
868	17928	2702
869	17949	2682
870	17969	2661
871	17990	2640
872	18010	2620
873	18031	2599
874	18052	2578
875	18072	2558
876	18093	2537
877	18114	2517
878	18135	2496
879	18155	2475
880	18176	2455
881	18197	2434
882	18218	2413
883	18238	2393
884	18259	2372
885	18280	2352
886	18301	2331
887	18322	2310
888	18342	2290
889	18363	2269
890	18384	2249
891	18405	2228
892	18425	2207
893	18446	2187
894	18466	2166
895	18487	2145
896	18508	2125
897	18529	2104
898	18549	2084
899	18570	2063
900	18591	2042
901	18612	2022
902	18632	2001
903	18653	1980
904	18673	1960
905	18694	1939
906	18715	1919
907	18735	1898
908	18756	1877
909	18777	1857
910	18798	1836
911	18818	1815
912	18839	1795
913	18860	1774
914	18880	1753
915	18901	1733
916	18922	1712
917	18943	1692
918	18963	1671
919	18984	1650
920	19005	1630
921	19025	1609
922	19046	1588
923	19067	1568
924	19088	1547
925	19108	1527
926	19129	1506
927	19149	1485
928	19170	1465
929	19191	1444
930	19212	1423
931	19232	1403
932	19253	1382
933	19274	1361
934	19294	1341
935	19315	1320
936	19335	1300
937	19356	1279
938	19377	1258
939	19398	1238
940	19419	1217
941	19439	1196
942	19460	1176
943	19481	1155
944	19501	1135
945	19522	1114
946	19543	1093
947	19563	1073
948	19584	1052
949	19604	1031
950	19625	1011
951	19646	990
952	19666	969
953	19687	949
954	19708	928
955	19729	908
956	19749	887
957	19770	866
958	19790	846
959	19812	825
960	19832	804
961	19853	784
962	19873	763
963	19894	742
964	19915	722
965	19935	701
966	19956	681
967	19977	660
968	19997	639
969	20018	619
970	20039	598
971	20060	577
972	20081	557
973	20102	536
974	20122	515
975	20143	495
976	20163	474
977	20184	454
978	20204	433
979	20225	412
980	20246	392
981	20266	371
982	20287	350
983	20308	330
984	20329	309
985	20349	288
986	20370	268
987	20391	247
988	20412	227
989	20432	206
990	20453	185
991	20473	165
992	20494	144
993	20514	123
994	20535	103
995	20556	82
996	20576	61
997	20597	41
998	20618	20
999	20638	0
